Arizona, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,40.8,-2.3
199002,42.7,-3.5
199003,52.0,-0.1
199004,59.8,1.4
199005,64.9,-1.8
199006,78.3,1.7
199007,79.3,-1.7
199008,76.0,-3.4
199009,73.1,-0.5
199010,62.0,-0.3
199011,50.3,-0.8
199012,37.4,-4.9
199101,40.7,-2.4
199102,49.2,3.0
199103,45.8,-6.3
199104,55.5,-2.9
199105,63.2,-3.5
199106,71.6,-5.0
199107,79.3,-1.7
199108,78.5,-0.9
199109,72.3,-1.3
199110,64.1,1.8
199111,49.0,-2.1
199112,41.8,-0.5
199201,39.6,-3.5
199202,47.1,0.9
199203,50.2,-1.9
199204,61.2,2.8
199205,66.7,0.0
199206,73.5,-3.1
199207,78.1,-2.9
199208,77.5,-1.9
199209,73.3,-0.3
199210,63.8,1.5
199211,45.7,-5.4
199212,38.4,-3.9
199301,43.5,0.4
199302,44.5,-1.7
199303,51.8,-0.3
199304,58.6,0.2
199305,67.3,0.6
199306,74.2,-2.4
199307,78.3,-2.7
199308,77.5,-1.9
199309,71.8,-1.8
199310,61.0,-1.3
199311,47.2,-3.9
199312,41.9,-0.4
199401,43.2,0.1
199402,43.3,-2.9
199403,52.9,0.8
199404,58.2,-0.2
199405,65.2,-1.5
199406,79.2,2.6
199407,81.3,0.3
199408,81.3,1.9
199409,73.7,0.1
199410,59.6,-2.7
199411,45.5,-5.6
199412,43.2,0.9
199501,42.1,-1.0
199502,50.9,4.7
199503,51.3,-0.8
199504,54.9,-3.5
199505,61.7,-5.0
199506,72.1,-4.5
199507,80.3,-0.7
199508,81.4,2.0
199509,74.6,1.0
199510,63.1,0.8
199511,55.0,3.9
199512,44.7,2.4
199601,44.2,1.1
199602,50.1,3.9
199603,51.9,-0.2
199604,59.9,1.5
199605,69.6,2.9
199606,78.0,1.4
199607,82.3,1.3
199608,80.2,0.8
199609,70.3,-3.3
199610,60.8,-1.5
199611,51.0,-0.1
199612,44.2,1.9
199701,42.0,-1.1
199702,44.7,-1.5
199703,55.0,2.9
199704,56.2,-2.2
199705,70.5,3.8
199706,73.8,-2.8
199707,79.4,-1.6
199708,79.1,-0.3
199709,75.0,1.4
199710,60.2,-2.1
199711,51.0,-0.1
199712,39.4,-2.9
199801,43.8,0.7
199802,42.0,-4.2
199803,49.0,-3.1
199804,52.7,-5.7
199805,63.0,-3.7
199806,71.8,-4.8
199807,81.2,0.2
199808,80.4,1.0
199809,73.6,0.0
199810,60.5,-1.8
199811,50.6,-0.5
199812,42.7,0.4
199901,45.4,2.3
199902,48.0,1.8
199903,53.0,0.9
199904,53.2,-5.2
199905,65.3,-1.4
199906,74.5,-2.1
199907,78.3,-2.7
199908,77.8,-1.6
199909,72.6,-1.0
199910,64.2,1.9
199911,55.1,4.0
199912,42.0,-0.3
200001,45.8,2.7
200002,48.4,2.2
200003,50.5,-1.6
200004,61.9,3.5
200005,71.2,4.5
200006,77.8,1.2
200007,81.5,0.5
200008,79.4,0.0
200009,74.9,1.3
200010,60.2,-2.1
200011,43.8,-7.3
200012,44.7,2.4
200101,40.3,-2.8
200102,44.2,-2.0
200103,51.8,-0.3
200104,57.5,-0.9
200105,70.8,4.1
200106,77.5,0.9
200107,79.8,-1.2
200108,79.1,-0.3
200109,75.6,2.0
200110,64.7,2.4
200111,52.9,1.8
200112,40.2,-2.1
200201,42.3,-0.8
200202,46.2,0.0
200203,49.8,-2.3
200204,62.0,3.6
200205,67.0,0.3
200206,78.8,2.2
200207,82.3,1.3
200208,79.8,0.4
200209,73.6,0.0
200210,60.0,-2.3
200211,51.3,0.2
200212,41.0,-1.3
200301,48.8,5.7
200302,45.5,-0.7
200303,50.6,-1.5
200304,55.6,-2.8
200305,68.3,1.6
200306,76.3,-0.3
200307,83.8,2.8
200308,80.0,0.6
200309,74.8,1.2
200310,67.3,5.0
200311,48.8,-2.3
200312,43.0,0.7
200401,42.8,-0.3
200402,42.1,-4.1
200403,58.1,6.0
200404,57.9,-0.5
200405,68.4,1.7
200406,75.9,-0.7
200407,80.1,-0.9
200408,77.7,-1.7
200409,71.8,-1.8
200410,60.0,-2.3
200411,47.3,-3.8
200412,42.8,0.5
200501,45.1,2.0
200502,46.2,0.0
200503,49.9,-2.2
200504,57.2,-1.2
200505,67.9,1.2
200506,74.4,-2.2
200507,82.7,1.7
200508,77.5,-1.9
200509,73.4,-0.2
200510,62.8,0.5
200511,52.6,1.5
200512,43.9,1.6
200601,44.1,1.0
200602,47.8,1.6
200603,48.3,-3.8
200604,59.0,0.6
200605,70.0,3.3
200606,79.5,2.9
200607,82.3,1.3
200608,77.9,-1.5
200609,69.8,-3.8
200610,60.2,-2.1
200611,52.8,1.7
200612,41.8,-0.5
200701,39.0,-4.1
200702,46.7,0.5
200703,54.5,2.4
200704,59.3,0.9
200705,68.4,1.7
200706,77.3,0.7
200707,82.0,1.0
200708,80.5,1.1
200709,73.8,0.2
200710,62.4,0.1
200711,55.3,4.2
200712,39.9,-2.4
200801,39.8,-3.3
200802,45.0,-1.2
200803,51.8,-0.3
200804,58.0,-0.4
200805,63.6,-3.1
200806,77.3,0.7
200807,80.4,-0.6
200808,79.3,-0.1
200809,73.6,0.0
200810,62.9,0.6
200811,53.3,2.2
200812,42.4,0.1
200901,45.2,2.1
200902,46.6,0.4
200903,52.5,0.4
200904,57.0,-1.4
200905,70.8,4.1
200906,73.0,-3.6
200907,82.8,1.8
200908,79.7,0.3
200909,74.1,0.5
200910,59.4,-2.9
200911,52.9,1.8
200912,39.0,-3.3
201001,42.2,-0.9
201002,44.3,-1.9
201003,49.2,-2.9
201004,56.1,-2.3
201005,63.1,-3.6
201006,75.9,-0.7
201007,81.8,0.8
201008,79.0,-0.4
201009,75.4,1.8
201010,62.7,0.4
201011,48.3,-2.8
201012,46.7,4.4
201101,41.5,-1.6
201102,41.7,-4.5
201103,53.3,1.2
201104,58.9,0.5
201105,63.2,-3.5
201106,75.7,-0.9
201107,80.8,-0.2
201108,82.2,2.8
201109,74.6,1.0
201110,62.8,0.5
201111,49.4,-1.7
201112,39.9,-2.4
201201,45.3,2.2
201202,45.6,-0.6
201203,51.6,-0.5
201204,60.6,2.2
201205,69.3,2.6
201206,78.7,2.1
201207,80.0,-1.0
201208,80.5,1.1
201209,73.7,0.1
201210,63.8,1.5
201211,53.8,2.7
201212,42.4,0.1
201301,38.6,-4.5
201302,42.2,-4.0
201303,54.8,2.7
201304,59.4,1.0
201305,67.4,0.7
201306,79.5,2.9
201307,81.0,0.0
201308,78.5,-0.9
201309,72.4,-1.2
201310,58.8,-3.5
201311,51.3,0.2
201312,41.5,-0.8
201401,46.5,3.4
201402,50.0,3.8
201403,53.9,1.8
201404,59.1,0.7
201405,66.8,0.1
201406,77.7,1.1
201407,81.4,0.4
201408,76.5,-2.9
201409,74.2,0.6
201410,64.9,2.6
201411,51.7,0.6
201412,44.3,2.0
201501,45.1,2.0
201502,52.0,5.8
201503,56.3,4.2
201504,58.4,0.0
201505,62.9,-3.8
201506,78.4,1.8
201507,78.6,-2.4
201508,80.6,1.2
201509,75.0,1.4
201510,64.5,2.2
201511,48.3,-2.8
201512,40.9,-1.4
201601,41.8,-1.3
201602,50.6,4.4
201603,54.9,2.8
201604,58.5,0.1
201605,64.6,-2.1
201606,80.3,3.7
201607,82.4,1.4
201608,77.5,-1.9
201609,71.6,-2.0
201610,66.1,3.8
201611,53.1,2.0
201612,44.7,2.4
201701,42.3,-0.8
201702,49.4,3.2
201703,56.6,4.5
201704,59.9,1.5
201705,66.1,-0.6
201706,79.8,3.2
201707,81.5,0.5
201708,79.1,-0.3
201709,72.4,-1.2
201710,65.1,2.8
201711,57.6,6.5
201712,46.6,4.3
201801,47.6,4.5
201802,46.7,0.5
201803,52.3,0.2
201804,62.9,4.5
201805,68.5,1.8
201806,78.6,2.0
201807,82.3,1.3
201808,80.2,0.8
201809,76.0,2.4
201810,59.9,-2.4
201811,49.4,-1.7
201812,42.8,0.5
201901,42.4,-0.7
201902,40.9,-5.3
201903,51.7,-0.4
201904,60.3,1.9
201905,60.7,-6.0
201906,75.2,-1.4
201907,81.9,0.9
201908,81.9,2.5
201909,73.8,0.2
201910,60.0,-2.3
201911,52.1,1.0
201912,42.2,-0.1
202001,43.7,0.6
202002,45.9,-0.3
202003,51.0,-1.1
202004,59.3,0.9
202005,70.5,3.8
202006,76.8,0.2
202007,82.8,1.8
202008,84.1,4.7
202009,75.6,2.0
202010,66.2,3.9
202011,53.5,2.4
202012,42.0,-0.3
202101,42.6,-0.5
202102,46.5,0.3
202103,49.5,-2.6
202104,61.2,2.8
202105,68.0,1.3
202106,80.7,4.1
202107,81.4,0.4
202108,79.5,0.1
202109,74.8,1.2
202110,60.0,-2.3
202111,55.8,4.7
202112,45.6,3.3
202201,43.7,0.6
