Connecticut, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,4.90,1.36
199002,3.29,0.22
199003,2.73,-1.35
199004,4.88,0.73
199005,7.51,3.57
199006,2.31,-1.94
199007,3.38,-0.80
199008,8.09,3.77
199009,2.02,-2.44
199010,7.86,2.95
199011,3.02,-0.76
199012,5.69,1.35
199101,2.85,-0.69
199102,2.00,-1.07
199103,5.07,0.99
199104,3.05,-1.10
199105,4.88,0.94
199106,1.71,-2.54
199107,3.14,-1.04
199108,8.34,4.02
199109,6.04,1.58
199110,3.04,-1.87
199111,4.19,0.41
199112,3.46,-0.88
199201,2.69,-0.85
199202,2.11,-0.96
199203,4.32,0.24
199204,2.76,-1.39
199205,1.75,-2.19
199206,6.88,2.63
199207,4.61,0.43
199208,6.14,1.82
199209,3.52,-0.94
199210,2.35,-2.56
199211,6.04,2.26
199212,5.62,1.28
199301,2.73,-0.81
199302,2.94,-0.13
199303,6.60,2.52
199304,4.88,0.73
199305,0.97,-2.97
199306,2.71,-1.54
199307,3.09,-1.09
199308,2.54,-1.78
199309,5.99,1.53
199310,3.87,-1.04
199311,3.99,0.21
199312,5.44,1.10
199401,5.67,2.13
199402,2.83,-0.24
199403,5.89,1.81
199404,2.61,-1.54
199405,3.60,-0.34
199406,3.66,-0.59
199407,4.36,0.18
199408,6.71,2.39
199409,4.59,0.13
199410,1.17,-3.74
199411,4.66,0.88
199412,4.66,0.32
199501,3.97,0.43
199502,2.84,-0.23
199503,2.40,-1.68
199504,2.68,-1.47
199505,3.21,-0.73
199506,1.68,-2.57
199507,3.15,-1.03
199508,2.39,-1.93
199509,3.63,-0.83
199510,8.97,4.06
199511,5.07,1.29
199512,2.30,-2.04
199601,6.73,3.19
199602,2.68,-0.39
199603,2.91,-1.17
199604,7.14,2.99
199605,3.57,-0.37
199606,2.97,-1.28
199607,7.05,2.87
199608,2.24,-2.08
199609,6.29,1.83
199610,7.17,2.26
199611,4.10,0.32
199612,7.45,3.11
199701,3.91,0.37
199702,2.07,-1.00
199703,4.11,0.03
199704,4.44,0.29
199705,3.38,-0.56
199706,1.93,-2.32
199707,3.82,-0.36
199708,6.08,1.76
199709,1.45,-3.01
199710,1.83,-3.08
199711,6.41,2.63
199712,3.25,-1.09
199801,4.67,1.13
199802,3.97,0.90
199803,6.10,2.02
199804,4.49,0.34
199805,5.86,1.92
199806,7.42,3.17
199807,3.62,-0.56
199808,2.46,-1.86
199809,2.83,-1.63
199810,5.07,0.16
199811,2.32,-1.46
199812,1.27,-3.07
199901,7.30,3.76
199902,3.73,0.66
199903,5.42,1.34
199904,1.35,-2.80
199905,4.33,0.39
199906,0.85,-3.40
199907,2.42,-1.76
199908,2.90,-1.42
199909,10.39,5.93
199910,4.48,-0.43
199911,3.21,-0.57
199912,2.77,-1.57
200001,3.45,-0.09
200002,2.59,-0.48
200003,4.11,0.03
200004,5.02,0.87
200005,4.49,0.55
200006,6.22,1.97
200007,6.23,2.05
200008,3.42,-0.90
200009,4.14,-0.32
200010,1.14,-3.77
200011,3.71,-0.07
200012,4.22,-0.12
200101,2.45,-1.09
200102,2.56,-0.51
200103,7.68,3.60
200104,1.59,-2.56
200105,4.11,0.17
200106,6.40,2.15
200107,2.19,-1.99
200108,3.84,-0.48
200109,3.93,-0.53
200110,1.26,-3.65
200111,1.08,-2.70
200112,2.45,-1.89
200201,1.94,-1.60
200202,1.67,-1.40
200203,4.12,0.04
200204,3.75,-0.40
200205,5.21,1.27
200206,5.03,0.78
200207,2.59,-1.59
200208,3.62,-0.70
200209,4.82,0.36
200210,4.30,-0.61
200211,5.68,1.90
200212,4.69,0.35
200301,2.65,-0.89
200302,3.82,0.75
200303,4.30,0.22
200304,3.28,-0.87
200305,4.72,0.78
200306,7.18,2.93
200307,3.01,-1.17
200308,5.04,0.72
200309,7.70,3.24
200310,6.07,1.16
200311,3.17,-0.61
200312,5.18,0.84
200401,1.89,-1.65
200402,2.17,-0.90
200403,2.97,-1.11
200404,7.02,2.87
200405,3.59,-0.35
200406,1.99,-2.26
200407,4.54,0.36
200408,5.52,1.20
200409,8.39,3.93
200410,2.21,-2.70
200411,3.95,0.17
200412,4.37,0.03
200501,4.85,1.31
200502,2.49,-0.58
200503,4.01,-0.07
200504,5.50,1.35
200505,2.59,-1.35
200506,2.39,-1.86
200507,3.62,-0.56
200508,2.05,-2.27
200509,2.39,-2.07
200510,15.92,11.01
200511,4.64,0.86
200512,4.23,-0.11
200601,5.91,2.37
200602,2.48,-0.59
200603,0.72,-3.36
200604,4.84,0.69
200605,7.17,3.23
200606,9.21,4.96
200607,3.15,-1.03
200608,5.26,0.94
200609,3.00,-1.46
200610,7.06,2.15
200611,6.08,2.30
200612,2.13,-2.21
200701,3.43,-0.11
200702,2.01,-1.06
200703,5.24,1.16
200704,8.57,4.42
200705,1.88,-2.06
200706,3.54,-0.71
200707,4.94,0.76
200708,2.25,-2.07
200709,1.79,-2.67
200710,3.76,-1.15
200711,3.16,-0.62
200712,4.97,0.63
200801,2.45,-1.09
200802,8.34,5.27
200803,5.51,1.43
200804,3.58,-0.57
200805,2.66,-1.28
200806,4.69,0.44
200807,5.66,1.48
200808,3.95,-0.37
200809,9.06,4.60
200810,3.04,-1.87
200811,3.67,-0.11
200812,6.92,2.58
200901,3.00,-0.54
200902,1.48,-1.59
200903,2.35,-1.73
200904,3.95,-0.20
200905,3.91,-0.03
200906,6.94,2.69
200907,8.82,4.64
200908,3.76,-0.56
200909,1.98,-2.48
200910,6.08,1.17
200911,2.74,-1.04
200912,5.49,1.15
201001,2.94,-0.60
201002,4.51,1.44
201003,9.95,5.87
201004,1.70,-2.45
201005,2.94,-1.00
201006,3.36,-0.89
201007,3.53,-0.65
201008,3.58,-0.74
201009,2.62,-1.84
201010,5.47,0.56
201011,3.38,-0.40
201012,4.56,0.22
201101,3.36,-0.18
201102,3.84,0.77
201103,4.74,0.66
201104,5.52,1.37
201105,4.87,0.93
201106,6.15,1.90
201107,2.17,-2.01
201108,11.56,7.24
201109,7.78,3.32
201110,5.60,0.69
201111,3.57,-0.21
201112,4.53,0.19
201201,2.86,-0.68
201202,1.09,-1.98
201203,1.30,-2.78
201204,3.00,-1.15
201205,3.94,0.00
201206,4.30,0.05
201207,3.78,-0.40
201208,3.85,-0.47
201209,5.41,0.95
201210,4.36,-0.55
201211,0.80,-2.98
201212,4.70,0.36
201301,1.72,-1.82
201302,3.62,0.55
201303,2.35,-1.73
201304,1.49,-2.66
201305,4.47,0.53
201306,10.60,6.35
201307,3.67,-0.51
201308,3.92,-0.40
201309,2.84,-1.62
201310,1.36,-3.55
201311,3.70,-0.08
201312,3.65,-0.69
201401,2.80,-0.74
201402,3.42,0.35
201403,4.22,0.14
201404,4.38,0.23
201405,4.79,0.85
201406,2.41,-1.84
201407,4.84,0.66
201408,3.05,-1.27
201409,1.39,-3.07
201410,4.67,-0.24
201411,4.16,0.38
201412,4.88,0.54
201501,3.47,-0.07
201502,2.01,-1.06
201503,3.05,-1.03
201504,2.74,-1.41
201505,1.21,-2.73
201506,6.35,2.10
201507,2.81,-1.37
201508,2.14,-2.18
201509,3.62,-0.84
201510,3.31,-1.60
201511,2.23,-1.55
201512,4.14,-0.20
201601,2.14,-1.40
201602,4.94,1.87
201603,2.16,-1.92
201604,2.86,-1.29
201605,3.33,-0.61
201606,1.78,-2.47
201607,3.32,-0.86
201608,3.70,-0.62
201609,1.92,-2.54
201610,3.88,-1.03
201611,3.24,-0.54
201612,3.46,-0.88
201701,3.56,0.02
201702,2.14,-0.93
201703,3.33,-0.75
201704,4.71,0.56
201705,5.35,1.41
201706,3.54,-0.71
201707,4.38,0.20
201708,2.62,-1.70
201709,2.30,-2.16
201710,8.26,3.35
201711,1.62,-2.16
201712,2.29,-2.05
201801,3.86,0.32
201802,5.28,2.21
201803,3.47,-0.61
201804,5.39,1.24
201805,2.67,-1.27
201806,3.79,-0.46
201807,5.32,1.14
201808,5.68,1.36
201809,8.56,4.10
201810,4.99,0.08
201811,8.09,4.31
201812,5.06,0.72
201901,5.90,2.36
201902,3.01,-0.06
201903,2.76,-1.32
201904,7.32,3.17
201905,4.82,0.88
201906,3.42,-0.83
201907,4.20,0.02
201908,3.96,-0.36
201909,1.86,-2.60
201910,7.19,2.28
201911,2.87,-0.91
201912,6.60,2.26
202001,2.05,-1.49
202002,3.24,0.17
202003,3.88,-0.20
202004,5.19,1.04
202005,2.69,-1.25
202006,2.47,-1.78
202007,3.06,-1.12
202008,2.43,-1.89
202009,2.16,-2.30
202010,5.31,0.40
202011,4.51,0.73
202012,6.38,2.04
202101,2.12,-1.42
202102,3.04,-0.03
202103,2.65,-1.43
202104,3.03,-1.12
202105,5.51,1.57
202106,1.99,-2.26
202107,9.35,5.17
202108,5.08,0.76
202109,8.19,3.73
202110,5.99,1.08
202111,1.99,-1.79
202112,2.13,-2.21
202201,2.59,-0.95
