Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,62.6,4.2
199002,65.9,4.4
199003,66.9,1.4
199004,69.1,-1.2
199005,77.0,0.7
199006,80.7,0.0
199007,81.8,-0.4
199008,82.2,0.0
199009,80.0,0.0
199010,74.3,0.5
199011,66.3,0.5
199012,63.1,2.1
199101,62.0,3.6
199102,61.6,0.1
199103,66.2,0.7
199104,73.3,3.0
199105,78.2,1.9
199106,79.9,-0.8
199107,81.7,-0.5
199108,81.7,-0.5
199109,79.7,-0.3
199110,72.6,-1.2
199111,62.4,-3.4
199112,62.1,1.1
199201,56.4,-2.0
199202,61.6,0.1
199203,63.9,-1.6
199204,67.9,-2.4
199205,72.7,-3.6
199206,79.9,-0.8
199207,82.6,0.4
199208,80.6,-1.6
199209,79.4,-0.6
199210,70.7,-3.1
199211,67.0,1.2
199212,60.6,-0.4
199301,63.5,5.1
199302,58.1,-3.4
199303,62.4,-3.1
199304,65.9,-4.4
199305,73.8,-2.5
199306,80.4,-0.3
199307,82.5,0.3
199308,82.2,0.0
199309,79.9,-0.1
199310,73.2,-0.6
199311,65.5,-0.3
199312,56.2,-4.8
199401,56.8,-1.6
199402,63.8,2.3
199403,66.0,0.5
199404,72.1,1.8
199405,75.7,-0.6
199406,80.5,-0.2
199407,80.6,-1.6
199408,80.2,-2.0
199409,78.2,-1.8
199410,73.4,-0.4
199411,69.5,3.7
199412,61.8,0.8
199501,56.6,-1.8
199502,58.9,-2.6
199503,66.5,1.0
199504,70.4,0.1
199505,78.3,2.0
199506,79.2,-1.5
199507,82.2,0.0
199508,82.4,0.2
199509,79.9,-0.1
199510,75.0,1.2
199511,62.8,-3.0
199512,57.3,-3.7
199601,56.6,-1.8
199602,58.7,-2.8
199603,60.6,-4.9
199604,67.8,-2.5
199605,77.0,0.7
199606,79.2,-1.5
199607,82.2,0.0
199608,80.6,-1.6
199609,79.1,-0.9
199610,72.0,-1.8
199611,64.9,-0.9
199612,60.0,-1.0
199701,59.4,1.0
199702,64.1,2.6
199703,70.5,5.0
199704,68.3,-2.0
199705,74.8,-1.5
199706,78.7,-2.0
199707,81.9,-0.3
199708,81.5,-0.7
199709,79.8,-0.2
199710,72.2,-1.6
199711,63.6,-2.2
199712,58.9,-2.1
199801,60.5,2.1
199802,60.0,-1.5
199803,62.2,-3.3
199804,69.7,-0.6
199805,77.4,1.1
199806,84.1,3.4
199807,83.6,1.4
199808,82.7,0.5
199809,80.3,0.3
199810,75.2,1.4
199811,69.6,3.8
199812,64.6,3.6
199901,60.7,2.3
199902,61.9,0.4
199903,62.6,-2.9
199904,72.8,2.5
199905,74.6,-1.7
199906,79.3,-1.4
199907,82.2,0.0
199908,83.1,0.9
199909,78.9,-1.1
199910,73.2,-0.6
199911,65.7,-0.1
199912,59.0,-2.0
200001,58.4,0.0
200002,60.5,-1.0
200003,67.6,2.1
200004,68.1,-2.2
200005,77.3,1.0
200006,80.5,-0.2
200007,82.3,0.1
200008,81.7,-0.5
200009,79.5,-0.5
200010,70.9,-2.9
200011,63.4,-2.4
200012,56.7,-4.3
200101,53.0,-5.4
200102,65.2,3.7
200103,64.3,-1.2
200104,70.0,-0.3
200105,74.9,-1.4
200106,80.1,-0.6
200107,81.3,-0.9
200108,81.4,-0.8
200109,77.6,-2.4
200110,71.6,-2.2
200111,67.7,1.9
200112,64.1,3.1
200201,59.3,0.9
200202,59.5,-2.0
200203,66.6,1.1
200204,73.6,3.3
200205,76.7,0.4
200206,79.6,-1.1
200207,81.5,-0.7
200208,81.1,-1.1
200209,81.0,1.0
200210,76.2,2.4
200211,63.1,-2.7
200212,57.3,-3.7
200301,52.2,-6.2
200302,61.2,-0.3
200303,69.8,4.3
200304,69.4,-0.9
200305,78.1,1.8
200306,80.1,-0.6
200307,81.4,-0.8
200308,81.1,-1.1
200309,78.9,-1.1
200310,73.5,-0.3
200311,68.6,2.8
200312,56.1,-4.9
200401,56.8,-1.6
200402,59.3,-2.2
200403,65.7,0.2
200404,67.4,-2.9
200405,76.3,0.0
200406,81.3,0.6
200407,81.8,-0.4
200408,81.4,-0.8
200409,79.9,-0.1
200410,74.5,0.7
200411,67.4,1.6
200412,58.0,-3.0
200501,60.0,1.6
200502,60.8,-0.7
200503,63.0,-2.5
200504,66.7,-3.6
200505,74.4,-1.9
200506,79.9,-0.8
200507,83.3,1.1
200508,83.2,1.0
200509,80.8,0.8
200510,73.6,-0.2
200511,67.3,1.5
200512,57.0,-4.0
200601,60.8,2.4
200602,58.3,-3.2
200603,64.8,-0.7
200604,72.4,2.1
200605,75.7,-0.6
200606,80.5,-0.2
200607,82.0,-0.2
200608,82.8,0.6
200609,79.3,-0.7
200610,72.1,-1.7
200611,63.4,-2.4
200612,64.2,3.2
200701,61.3,2.9
200702,58.1,-3.4
200703,66.3,0.8
200704,68.4,-1.9
200705,74.9,-1.4
200706,80.0,-0.7
200707,82.4,0.2
200708,83.7,1.5
200709,80.5,0.5
200710,76.2,2.4
200711,64.8,-1.0
200712,64.4,3.4
200801,58.3,-0.1
200802,63.0,1.5
200803,64.7,-0.8
200804,69.5,-0.8
200805,76.4,0.1
200806,80.9,0.2
200807,81.2,-1.0
200808,81.3,-0.9
200809,79.7,-0.3
200810,71.4,-2.4
200811,61.5,-4.3
200812,62.0,1.0
200901,57.2,-1.2
200902,57.3,-4.2
200903,65.3,-0.2
200904,69.6,-0.7
200905,76.6,0.3
200906,81.9,1.2
200907,81.7,-0.5
200908,82.1,-0.1
200909,80.5,0.5
200910,75.3,1.5
200911,66.0,0.2
200912,60.4,-0.6
201001,52.5,-5.9
201002,52.6,-8.9
201003,59.0,-6.5
201004,69.7,-0.6
201005,78.5,2.2
201006,83.1,2.4
201007,83.4,1.2
201008,83.5,1.3
201009,80.9,0.9
201010,72.1,-1.7
201011,64.9,-0.9
201012,50.1,-10.9
201101,54.9,-3.5
201102,61.8,0.3
201103,66.5,1.0
201104,73.0,2.7
201105,76.2,-0.1
201106,82.1,1.4
201107,82.6,0.4
201108,83.7,1.5
201109,79.7,-0.3
201110,70.5,-3.3
201111,66.4,0.6
201112,62.8,1.8
201201,59.3,0.9
201202,64.3,2.8
201203,70.3,4.8
201204,71.2,0.9
201205,77.6,1.3
201206,79.3,-1.4
201207,82.4,0.2
201208,81.5,-0.7
201209,79.5,-0.5
201210,73.2,-0.6
201211,62.1,-3.7
201212,62.0,1.0
201301,64.0,5.6
201302,61.8,0.3
201303,59.1,-6.4
201304,71.4,1.1
201305,74.0,-2.3
201306,81.1,0.4
201307,80.8,-1.4
201308,82.2,0.0
201309,80.0,0.0
201310,74.0,0.2
201311,67.1,1.3
201312,64.7,3.7
201401,54.5,-3.9
201402,62.8,1.3
201403,63.5,-2.0
201404,70.5,0.2
201405,76.0,-0.3
201406,80.3,-0.4
201407,81.8,-0.4
201408,82.9,0.7
201409,79.7,-0.3
201410,72.7,-1.1
201411,61.1,-4.7
201412,61.9,0.9
201501,58.6,0.2
201502,56.5,-5.0
201503,69.5,4.0
201504,75.1,4.8
201505,77.5,1.2
201506,81.7,1.0
201507,82.8,0.6
201508,82.4,0.2
201509,80.0,0.0
201510,74.4,0.6
201511,72.2,6.4
201512,69.6,8.6
201601,56.9,-1.5
201602,59.4,-2.1
201603,68.8,3.3
201604,71.2,0.9
201605,76.2,-0.1
201606,81.9,1.2
201607,84.0,1.8
201608,83.0,0.8
201609,81.1,1.1
201610,74.6,0.8
201611,66.6,0.8
201612,65.9,4.9
201701,62.8,4.4
201702,65.5,4.0
201703,66.2,0.7
201704,72.3,2.0
201705,77.1,0.8
201706,80.2,-0.5
201707,82.8,0.6
201708,82.8,0.6
201709,80.4,0.4
201710,74.9,1.1
201711,67.4,1.6
201712,61.7,0.7
201801,55.0,-3.4
201802,69.2,7.7
201803,63.0,-2.5
201804,70.2,-0.1
201805,76.4,0.1
201806,81.5,0.8
201807,82.4,0.2
201808,82.2,0.0
201809,82.4,2.4
201810,76.5,2.7
201811,66.7,0.9
201812,61.8,0.8
201901,58.4,0.0
201902,67.5,6.0
201903,65.7,0.2
201904,71.2,0.9
201905,78.8,2.5
201906,82.3,1.6
201907,82.8,0.6
201908,82.9,0.7
201909,81.9,1.9
201910,77.9,4.1
201911,64.9,-0.9
201912,63.9,2.9
202001,61.8,3.4
202002,63.6,2.1
202003,71.0,5.5
202004,73.1,2.8
202005,75.8,-0.5
202006,81.0,0.3
202007,83.0,0.8
202008,83.2,1.0
202009,80.6,0.6
202010,77.2,3.4
202011,70.8,5.0
202012,57.6,-3.4
202101,58.7,0.3
202102,63.7,2.2
202103,67.8,2.3
202104,69.8,-0.5
202105,76.1,-0.2
202106,80.7,0.0
202107,81.9,-0.3
202108,82.6,0.4
202109,79.7,-0.3
202110,75.4,1.6
202111,63.4,-2.4
202112,66.5,5.5
202201,57.6,-0.8
