Virginia, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.04,-0.30
199002,-0.26,0.01
199003,-0.99,-1.00
199004,-0.18,-0.33
199005,3.54,3.21
199006,-2.46,-3.16
199007,-0.85,-0.67
199008,0.15,0.41
199009,-2.01,-2.65
199010,3.05,2.81
199011,-1.30,-1.32
199012,1.25,0.92
199101,0.69,0.43
199102,-1.88,-1.61
199103,2.48,2.47
199104,-1.64,-1.79
199105,-2.77,-3.10
199106,-0.86,-1.56
199107,0.29,0.47
199108,-2.15,-1.89
199109,-1.70,-2.34
199110,-2.55,-2.79
199111,-2.40,-2.42
199112,0.79,0.46
199201,-0.72,-0.98
199202,-0.48,-0.21
199203,-0.01,-0.02
199204,-0.01,-0.16
199205,1.56,1.23
199206,0.69,-0.01
199207,-0.22,-0.04
199208,1.00,1.26
199209,0.51,-0.13
199210,-0.50,-0.74
199211,1.58,1.56
199212,1.26,0.93
199301,0.63,0.37
199302,-0.11,0.16
199303,5.16,5.15
199304,1.50,1.35
199305,-0.63,-0.96
199306,-1.13,-1.83
199307,-3.14,-2.96
199308,-2.57,-2.31
199309,-0.69,-1.33
199310,-1.45,-1.69
199311,-0.01,-0.03
199312,1.67,1.34
199401,1.58,1.32
199402,2.41,2.68
199403,5.40,5.39
199404,-1.61,-1.76
199405,-0.85,-1.18
199406,-1.13,-1.83
199407,1.77,1.95
199408,0.98,1.24
199409,-0.46,-1.10
199410,-1.32,-1.56
199411,-1.13,-1.15
199412,-2.37,-2.70
199501,2.42,2.16
199502,-1.04,-0.77
199503,-2.00,-2.01
199504,-2.24,-2.39
199505,1.23,0.90
199506,5.22,4.52
199507,-1.12,-0.94
199508,-3.04,-2.78
199509,-0.74,-1.38
199510,2.05,1.81
199511,1.56,1.54
199512,-0.88,-1.21
199601,3.82,3.56
199602,-0.26,0.01
199603,0.52,0.51
199604,-0.73,-0.88
199605,1.78,1.45
199606,0.71,0.01
199607,1.72,1.90
199608,1.93,2.19
199609,5.41,4.77
199610,1.23,0.99
199611,1.89,1.87
199612,2.10,1.77
199701,-0.57,-0.83
199702,-0.60,-0.33
199703,0.36,0.35
199704,0.49,0.34
199705,-1.72,-2.05
199706,0.02,-0.68
199707,-0.23,-0.05
199708,-2.31,-2.05
199709,-0.86,-1.50
199710,-1.30,-1.54
199711,1.07,1.05
199712,-0.21,-0.54
199801,4.55,4.29
199802,3.72,3.99
199803,1.87,1.86
199804,1.95,1.80
199805,1.28,0.95
199806,0.75,0.05
199807,-2.89,-2.71
199808,-2.22,-1.96
199809,-3.06,-3.70
199810,-2.91,-3.15
199811,-3.92,-3.94
199812,-1.26,-1.59
199901,1.11,0.85
199902,-1.37,-1.10
199903,-0.05,-0.06
199904,-0.89,-1.04
199905,-1.91,-2.24
199906,-2.51,-3.21
199907,-1.77,-1.59
199908,-1.96,-1.70
199909,6.70,6.06
199910,0.26,0.02
199911,-0.88,-0.90
199912,-1.04,-1.37
200001,0.27,0.01
200002,-2.07,-1.80
200003,-1.25,-1.26
200004,1.83,1.68
200005,-1.20,-1.53
200006,2.13,1.43
200007,1.50,1.68
200008,0.98,1.24
200009,2.10,1.46
200010,-2.88,-3.12
200011,-1.28,-1.30
200012,-1.05,-1.38
200101,-1.02,-1.28
200102,-1.75,-1.48
200103,1.28,1.27
200104,-2.66,-2.81
200105,0.88,0.55
200106,1.21,0.51
200107,1.66,1.84
200108,-0.16,0.10
200109,-0.86,-1.50
200110,-2.49,-2.73
200111,-4.06,-4.08
200112,-2.56,-2.89
200201,-1.44,-1.70
200202,-3.21,-2.94
200203,0.68,0.67
200204,-0.75,-0.90
200205,-0.28,-0.61
200206,-1.81,-2.51
200207,-1.38,-1.20
200208,-2.27,-2.01
200209,-0.97,-1.61
200210,1.92,1.68
200211,2.39,2.37
200212,1.61,1.28
200301,-1.04,-1.30
200302,4.40,4.67
200303,0.37,0.36
200304,1.88,1.73
200305,4.27,3.94
200306,4.15,3.45
200307,2.46,2.64
200308,1.44,1.70
200309,5.65,5.01
200310,0.21,-0.03
200311,1.65,1.63
200312,1.64,1.31
200401,-1.36,-1.62
200402,-0.84,-0.57
200403,-2.42,-2.43
200404,0.88,0.73
200405,-0.42,-0.75
200406,2.30,1.60
200407,2.01,2.19
200408,2.77,3.03
200409,4.60,3.96
200410,-0.37,-0.61
200411,1.69,1.67
200412,-0.05,-0.38
200501,-0.17,-0.43
200502,-1.84,-1.57
200503,0.45,0.44
200504,-0.44,-0.59
200505,-0.37,-0.70
200506,-1.72,-2.42
200507,0.70,0.88
200508,-1.55,-1.29
200509,-3.79,-4.43
200510,1.51,1.27
200511,0.40,0.38
200512,0.87,0.54
200601,-0.56,-0.82
200602,-1.92,-1.65
200603,-4.11,-4.12
200604,-0.72,-0.87
200605,-1.31,-1.64
200606,4.53,3.83
200607,-0.39,-0.21
200608,-1.40,-1.14
200609,3.63,2.99
200610,4.28,4.04
200611,3.05,3.03
200612,-1.71,-2.04
200701,-0.22,-0.48
200702,-0.93,-0.66
200703,-1.15,-1.16
200704,0.65,0.50
200705,-2.35,-2.68
200706,-0.32,-1.02
200707,-1.99,-1.81
200708,-2.42,-2.16
200709,-3.10,-3.74
200710,-0.03,-0.27
200711,-3.11,-3.13
200712,-0.94,-1.27
200801,-2.37,-2.63
200802,-0.72,-0.45
200803,-0.90,-0.91
200804,2.79,2.64
200805,0.70,0.37
200806,-1.37,-2.07
200807,-0.81,-0.63
200808,-0.83,-0.57
200809,0.37,-0.27
200810,-1.98,-2.22
200811,-0.81,-0.83
200812,0.67,0.34
200901,-0.10,-0.36
200902,-3.02,-2.75
200903,0.33,0.32
200904,-0.48,-0.63
200905,2.53,2.20
200906,1.97,1.27
200907,0.25,0.43
200908,0.07,0.33
200909,0.44,-0.20
200910,0.15,-0.09
200911,4.37,4.35
200912,5.46,5.13
201001,1.54,1.28
201002,0.18,0.45
201003,0.82,0.81
201004,-2.88,-3.03
201005,-0.52,-0.85
201006,-2.45,-3.15
201007,-3.54,-3.36
201008,-0.99,-0.73
201009,0.79,0.15
201010,0.04,-0.20
201011,-1.51,-1.53
201012,-0.05,-0.38
201101,-1.84,-2.10
201102,-2.17,-1.90
201103,1.88,1.87
201104,1.24,1.09
201105,0.22,-0.11
201106,-0.91,-1.61
201107,-1.20,-1.02
201108,0.40,0.66
201109,3.13,2.49
201110,1.32,1.08
201111,1.28,1.26
201112,0.51,0.18
201201,-1.35,-1.61
201202,-1.10,-0.83
201203,-1.28,-1.29
201204,-0.62,-0.77
201205,-0.45,-0.78
201206,-0.96,-1.66
201207,-0.80,-0.62
201208,0.16,0.42
201209,0.46,-0.18
201210,0.84,0.60
201211,-2.16,-2.18
201212,-0.43,-0.76
201301,3.50,3.24
201302,-1.02,-0.75
201303,0.50,0.49
201304,0.01,-0.14
201305,0.67,0.34
201306,4.30,3.60
201307,2.67,2.85
201308,1.02,1.28
201309,-1.26,-1.90
201310,-0.18,-0.42
201311,0.41,0.39
201312,3.45,3.12
201401,-0.39,-0.65
201402,0.47,0.74
201403,-0.10,-0.11
201404,1.75,1.60
201405,0.18,-0.15
201406,-0.47,-1.17
201407,-0.66,-0.48
201408,0.62,0.88
201409,-0.75,-1.39
201410,0.45,0.21
201411,0.54,0.52
201412,0.14,-0.19
201501,-0.58,-0.84
201502,-0.23,0.04
201503,0.11,0.10
201504,1.31,1.16
201505,-2.83,-3.16
201506,3.46,2.76
201507,0.80,0.98
201508,-1.42,-1.16
201509,1.96,1.32
201510,1.87,1.63
201511,1.18,1.16
201512,1.82,1.49
201601,-0.11,-0.37
201602,2.21,2.48
201603,-3.14,-3.15
201604,-1.48,-1.63
201605,3.87,3.54
201606,1.72,1.02
201607,0.27,0.45
201608,-1.33,-1.07
201609,1.08,0.44
201610,-0.04,-0.28
201611,-2.05,-2.07
201612,-0.03,-0.36
201701,0.77,0.51
201702,-3.83,-3.56
201703,-0.86,-0.87
201704,0.96,0.81
201705,4.35,4.02
201706,-0.36,-1.06
201707,-0.85,-0.67
201708,0.31,0.57
201709,-1.76,-2.40
201710,0.48,0.24
201711,-2.12,-2.14
201712,-2.73,-3.06
201801,-0.65,-0.91
201802,1.08,1.35
201803,-0.31,-0.32
201804,1.79,1.64
201805,2.93,2.60
201806,2.73,2.03
201807,1.39,1.57
201808,2.01,2.27
201809,4.81,4.17
201810,2.46,2.22
201811,4.47,4.45
201812,2.93,2.60
201901,0.49,0.23
201902,2.64,2.91
201903,-0.43,-0.44
201904,0.47,0.32
201905,-1.39,-1.72
201906,2.74,2.04
201907,-0.10,0.08
201908,-0.88,-0.62
201909,-3.51,-4.15
201910,1.42,1.18
201911,-0.41,-0.43
201912,0.29,-0.04
202001,0.19,-0.07
202002,2.25,2.52
202003,-1.97,-1.98
202004,3.70,3.55
202005,1.61,1.28
202006,1.93,1.23
202007,-0.94,-0.76
202008,4.14,4.40
202009,3.76,3.12
202010,2.44,2.20
202011,2.62,2.60
202012,2.75,2.42
202101,-0.03,-0.29
202102,2.62,2.89
202103,-0.83,-0.84
202104,-0.98,-1.13
202105,-1.94,-2.27
202106,0.21,-0.49
202107,-0.33,-0.15
202108,1.33,1.59
202109,0.62,-0.02
202110,-0.43,-0.67
202111,-2.29,-2.31
202112,-3.34,-3.67
202201,1.51,1.25
