Florida, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,2.10,-1.07
199002,3.90,0.91
199003,2.70,-0.67
199004,2.48,-0.65
199005,2.88,-0.70
199006,5.63,-1.98
199007,6.75,-0.48
199008,6.33,-1.29
199009,3.48,-2.97
199010,3.77,0.09
199011,1.19,-1.23
199012,1.40,-1.40
199101,8.03,4.86
199102,1.53,-1.46
199103,6.97,3.60
199104,5.40,2.27
199105,7.37,3.79
199106,7.61,0.00
199107,9.47,2.24
199108,6.38,-1.24
199109,4.10,-2.35
199110,3.52,-0.16
199111,1.18,-1.24
199112,1.05,-1.75
199201,3.67,0.50
199202,4.10,1.11
199203,3.24,-0.13
199204,2.84,-0.29
199205,1.86,-1.72
199206,11.58,3.97
199207,4.75,-2.48
199208,9.40,1.78
199209,5.13,-1.32
199210,3.57,-0.11
199211,4.79,2.37
199212,1.25,-1.55
199301,6.27,3.10
199302,3.23,0.24
199303,5.10,1.73
199304,2.23,-0.90
199305,2.52,-1.06
199306,4.61,-3.00
199307,5.45,-1.78
199308,5.13,-2.49
199309,5.46,-0.99
199310,5.99,2.31
199311,1.87,-0.55
199312,2.05,-0.75
199401,5.82,2.65
199402,2.39,-0.60
199403,3.67,0.30
199404,3.38,0.25
199405,2.70,-0.88
199406,8.93,1.32
199407,7.96,0.73
199408,8.32,0.70
199409,8.20,1.75
199410,6.17,2.49
199411,3.87,1.45
199412,3.37,0.57
199501,3.34,0.17
199502,2.13,-0.86
199503,3.38,0.01
199504,3.68,0.55
199505,3.38,-0.20
199506,8.64,1.03
199507,7.48,0.25
199508,9.55,1.93
199509,5.75,-0.70
199510,7.54,3.86
199511,2.62,0.20
199512,1.61,-1.19
199601,3.43,0.26
199602,1.99,-1.00
199603,7.21,3.84
199604,3.07,-0.06
199605,3.86,0.28
199606,7.09,-0.52
199607,5.19,-2.04
199608,6.92,-0.70
199609,5.11,-1.34
199610,5.93,2.25
199611,1.12,-1.30
199612,3.04,0.24
199701,3.08,-0.09
199702,2.35,-0.64
199703,2.59,-0.78
199704,6.01,2.88
199705,3.53,-0.05
199706,7.06,-0.55
199707,7.29,0.06
199708,6.13,-1.49
199709,5.53,-0.92
199710,3.62,-0.06
199711,5.20,2.78
199712,7.26,4.46
199801,4.59,1.42
199802,8.44,5.45
199803,6.02,2.65
199804,1.22,-1.91
199805,1.79,-1.79
199806,2.23,-5.38
199807,7.59,0.36
199808,6.65,-0.97
199809,11.92,5.47
199810,1.90,-1.78
199811,3.19,0.77
199812,1.51,-1.29
199901,4.06,0.89
199902,1.26,-1.73
199903,1.69,-1.68
199904,1.62,-1.51
199905,3.80,0.22
199906,9.48,1.87
199907,5.32,-1.91
199908,6.91,-0.71
199909,6.72,0.27
199910,4.86,1.18
199911,2.15,-0.27
199912,1.82,-0.98
200001,2.21,-0.96
200002,1.08,-1.91
200003,2.56,-0.81
200004,2.10,-1.03
200005,0.91,-2.67
200006,5.72,-1.89
200007,6.45,-0.78
200008,5.28,-2.34
200009,8.48,2.03
200010,1.86,-1.82
200011,2.02,-0.40
200012,1.62,-1.18
200101,1.27,-1.90
200102,0.72,-2.27
200103,6.52,3.15
200104,0.99,-2.14
200105,2.35,-1.23
200106,8.17,0.56
200107,9.40,2.17
200108,6.74,-0.88
200109,10.41,3.96
200110,2.72,-0.96
200111,1.57,-0.85
200112,1.35,-1.45
200201,3.00,-0.17
200202,2.68,-0.31
200203,2.70,-0.67
200204,2.41,-0.72
200205,2.36,-1.22
200206,10.19,2.58
200207,7.61,0.38
200208,7.37,-0.25
200209,6.63,0.18
200210,3.72,0.04
200211,3.64,1.22
200212,6.18,3.38
200301,1.50,-1.67
200302,3.79,0.80
200303,6.47,3.10
200304,2.86,-0.27
200305,4.25,0.67
200306,10.70,3.09
200307,7.25,0.02
200308,8.60,0.98
200309,5.96,-0.49
200310,2.69,-0.99
200311,2.45,0.03
200312,2.25,-0.55
200401,2.28,-0.89
200402,5.25,2.26
200403,1.02,-2.35
200404,2.22,-0.91
200405,1.77,-1.81
200406,7.94,0.33
200407,6.91,-0.32
200408,9.85,2.23
200409,12.52,6.07
200410,2.57,-1.11
200411,2.49,0.07
200412,2.40,-0.40
200501,1.76,-1.41
200502,2.47,-0.52
200503,5.73,2.36
200504,4.96,1.83
200505,3.96,0.38
200506,11.09,3.48
200507,7.22,-0.01
200508,7.04,-0.58
200509,4.29,-2.16
200510,4.84,1.16
200511,2.88,0.46
200512,3.24,0.44
200601,1.47,-1.70
200602,4.08,1.09
200603,0.43,-2.94
200604,1.44,-1.69
200605,2.67,-0.91
200606,5.57,-2.04
200607,6.27,-0.96
200608,6.76,-0.86
200609,5.25,-1.20
200610,1.97,-1.71
200611,1.85,-0.57
200612,3.24,0.44
200701,2.53,-0.64
200702,2.41,-0.58
200703,1.24,-2.13
200704,2.15,-0.98
200705,1.37,-2.21
200706,6.11,-1.50
200707,7.50,0.27
200708,4.94,-2.68
200709,6.20,-0.25
200710,5.64,1.96
200711,1.16,-1.26
200712,2.47,-0.33
200801,2.85,-0.32
200802,4.13,1.14
200803,3.39,0.02
200804,3.41,0.28
200805,1.58,-2.00
200806,6.65,-0.96
200807,8.10,0.87
200808,12.77,5.15
200809,3.19,-3.26
200810,3.64,-0.04
200811,1.39,-1.03
200812,2.03,-0.77
200901,1.85,-1.32
200902,1.32,-1.67
200903,2.78,-0.59
200904,3.72,0.59
200905,8.91,5.33
200906,6.03,-1.58
200907,6.65,-0.58
200908,6.46,-1.16
200909,5.88,-0.57
200910,2.22,-1.46
200911,2.24,-0.18
200912,5.71,2.91
201001,4.23,1.06
201002,3.70,0.71
201003,5.87,2.50
201004,2.75,-0.38
201005,4.22,0.64
201006,5.24,-2.37
201007,6.00,-1.23
201008,8.16,0.54
201009,4.33,-2.12
201010,0.44,-3.24
201011,2.07,-0.35
201012,1.11,-1.69
201101,4.24,1.07
201102,1.93,-1.06
201103,4.06,0.69
201104,2.16,-0.97
201105,1.61,-1.97
201106,4.74,-2.87
201107,6.96,-0.27
201108,6.65,-0.97
201109,5.53,-0.92
201110,5.73,2.05
201111,1.41,-1.01
201112,1.75,-1.05
201201,1.13,-2.04
201202,2.53,-0.46
201203,2.34,-1.03
201204,2.63,-0.50
201205,5.29,1.71
201206,12.57,4.96
201207,5.84,-1.39
201208,10.38,2.76
201209,5.59,-0.86
201210,3.65,-0.03
201211,0.43,-1.99
201212,2.71,-0.09
201301,0.80,-2.37
201302,4.43,1.44
201303,1.94,-1.43
201304,3.96,0.83
201305,4.62,1.04
201306,8.63,1.02
201307,11.68,4.45
201308,7.56,-0.06
201309,6.05,-0.40
201310,1.58,-2.10
201311,3.11,0.69
201312,2.51,-0.29
201401,3.91,0.74
201402,3.52,0.53
201403,5.20,1.83
201404,5.29,2.16
201405,4.74,1.16
201406,5.88,-1.73
201407,7.18,-0.05
201408,5.24,-2.38
201409,8.85,2.40
201410,2.48,-1.20
201411,4.06,1.64
201412,2.78,-0.02
201501,2.84,-0.33
201502,3.23,0.24
201503,2.00,-1.37
201504,4.28,1.15
201505,2.39,-1.19
201506,6.05,-1.56
201507,7.83,0.60
201508,8.44,0.82
201509,6.67,0.22
201510,1.84,-1.84
201511,3.80,1.38
201512,3.49,0.69
201601,6.05,2.88
201602,3.25,0.26
201603,3.43,0.06
201604,2.93,-0.20
201605,4.62,1.04
201606,7.11,-0.50
201607,4.87,-2.36
201608,8.12,0.50
201609,7.43,0.98
201610,2.67,-1.01
201611,0.21,-2.21
201612,2.72,-0.08
201701,3.71,0.54
201702,1.88,-1.11
201703,1.24,-2.13
201704,2.23,-0.90
201705,3.84,0.26
201706,12.26,4.65
201707,7.57,0.34
201708,8.52,0.90
201709,8.87,2.42
201710,5.19,1.51
201711,1.64,-0.78
201712,1.68,-1.12
201801,2.96,-0.21
201802,2.40,-0.59
201803,2.15,-1.22
201804,3.74,0.61
201805,9.31,5.73
201806,6.59,-1.02
201807,8.40,1.17
201808,7.61,-0.01
201809,4.91,-1.54
201810,2.12,-1.56
201811,3.15,0.73
201812,7.18,4.38
201901,3.98,0.81
201902,1.98,-1.01
201903,1.94,-1.43
201904,3.12,-0.01
201905,3.41,-0.17
201906,7.99,0.38
201907,7.53,0.30
201908,8.79,1.17
201909,1.73,-4.72
201910,5.16,1.48
201911,1.83,-0.59
201912,4.64,1.84
202001,1.57,-1.60
202002,3.48,0.49
202003,0.53,-2.84
202004,4.31,1.18
202005,5.25,1.67
202006,7.19,-0.42
202007,7.99,0.76
202008,7.92,0.30
202009,9.30,2.85
202010,4.26,0.58
202011,3.85,1.43
202012,2.33,-0.47
202101,1.83,-1.34
202102,4.10,1.11
202103,1.75,-1.62
202104,4.51,1.38
202105,1.54,-2.04
202106,8.34,0.73
202107,8.86,1.63
202108,8.76,1.14
202109,7.05,0.60
202110,3.93,0.25
202111,2.94,0.52
202112,1.75,-1.05
202201,2.25,-0.92
