New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,30.3,8.6
199002,26.7,3.1
199003,34.5,2.7
199004,45.6,1.6
199005,52.1,-3.5
199006,63.9,-0.6
199007,68.2,-0.7
199008,67.0,-0.4
199009,58.0,-2.3
199010,50.7,1.6
199011,39.5,1.6
199012,30.8,2.7
199101,21.0,-0.7
199102,27.6,4.0
199103,34.7,2.9
199104,47.4,3.4
199105,60.0,4.4
199106,65.5,1.0
199107,68.6,-0.3
199108,68.2,0.8
199109,57.4,-2.9
199110,50.1,1.0
199111,37.0,-0.9
199112,27.5,-0.6
199201,22.2,0.5
199202,23.9,0.3
199203,27.5,-4.3
199204,41.6,-2.4
199205,54.4,-1.2
199206,61.2,-3.3
199207,64.6,-4.3
199208,63.9,-3.5
199209,58.6,-1.7
199210,44.1,-5.0
199211,36.2,-1.7
199212,27.0,-1.1
199301,24.3,2.6
199302,14.9,-8.7
199303,27.6,-4.2
199304,44.2,0.2
199305,55.2,-0.4
199306,62.4,-2.1
199307,69.6,0.7
199308,67.8,0.4
199309,57.6,-2.7
199310,45.6,-3.5
199311,36.4,-1.5
199312,24.5,-3.6
199401,10.6,-11.1
199402,16.9,-6.7
199403,29.1,-2.7
199404,44.9,0.9
199405,52.2,-3.4
199406,65.8,1.3
199407,70.4,1.5
199408,64.5,-2.9
199409,58.2,-2.1
199410,47.9,-1.2
199411,41.5,3.6
199412,30.1,2.0
199501,27.2,5.5
199502,18.6,-5.0
199503,35.3,3.5
199504,39.8,-4.2
199505,53.7,-1.9
199506,66.1,1.6
199507,70.6,1.7
199508,68.7,1.3
199509,56.8,-3.5
199510,52.1,3.0
199511,33.0,-4.9
199512,20.8,-7.3
199601,18.9,-2.8
199602,21.8,-1.8
199603,27.8,-4.0
199604,41.6,-2.4
199605,52.6,-3.0
199606,65.3,0.8
199607,66.4,-2.5
199608,67.3,-0.1
199609,60.2,-0.1
199610,48.0,-1.1
199611,32.6,-5.3
199612,31.9,3.8
199701,20.0,-1.7
199702,27.3,3.7
199703,30.1,-1.7
199704,41.0,-3.0
199705,49.8,-5.8
199706,64.9,0.4
199707,66.9,-2.0
199708,64.9,-2.5
199709,57.8,-2.5
199710,46.9,-2.2
199711,34.5,-3.4
199712,27.8,-0.3
199801,27.5,5.8
199802,30.2,6.6
199803,34.8,3.0
199804,46.0,2.0
199805,60.4,4.8
199806,63.7,-0.8
199807,67.7,-1.2
199808,68.0,0.6
199809,61.1,0.8
199810,49.4,0.3
199811,38.5,0.6
199812,32.8,4.7
199901,20.7,-1.0
199902,27.1,3.5
199903,30.1,-1.7
199904,44.0,0.0
199905,57.4,1.8
199906,66.7,2.2
199907,71.3,2.4
199908,65.8,-1.6
199909,62.1,1.8
199910,46.7,-2.4
199911,42.2,4.3
199912,28.6,0.5
200001,19.2,-2.5
200002,25.9,2.3
200003,37.9,6.1
200004,42.6,-1.4
200005,56.4,0.8
200006,63.5,-1.0
200007,64.8,-4.1
200008,65.4,-2.0
200009,58.3,-2.0
200010,48.8,-0.3
200011,36.3,-1.6
200012,19.4,-8.7
200101,22.4,0.7
200102,24.7,1.1
200103,28.0,-3.8
200104,44.4,0.4
200105,57.0,1.4
200106,64.8,0.3
200107,65.9,-3.0
200108,70.0,2.6
200109,59.4,-0.9
200110,50.1,1.0
200111,43.1,5.2
200112,33.4,5.3
200201,29.1,7.4
200202,29.1,5.5
200203,33.2,1.4
200204,45.9,1.9
200205,51.3,-4.3
200206,64.3,-0.2
200207,70.0,1.1
200208,69.0,1.6
200209,63.1,2.8
200210,46.2,-2.9
200211,36.0,-1.9
200212,24.8,-3.3
200301,14.6,-7.1
200302,18.3,-5.3
200303,31.7,-0.1
200304,41.3,-2.7
200305,53.8,-1.8
200306,62.6,-1.9
200307,68.1,-0.8
200308,69.1,1.7
200309,60.5,0.2
200310,46.2,-2.9
200311,40.5,2.6
200312,27.5,-0.6
200401,12.8,-8.9
200402,21.6,-2.0
200403,34.8,3.0
200404,44.1,0.1
200405,58.5,2.9
200406,62.0,-2.5
200407,67.3,-1.6
200408,65.8,-1.6
200409,61.9,1.6
200410,48.4,-0.7
200411,38.8,0.9
200412,26.0,-2.1
200501,18.6,-3.1
200502,24.1,0.5
200503,27.6,-4.2
200504,45.9,1.9
200505,51.0,-4.6
200506,69.1,4.6
200507,71.1,2.2
200508,70.1,2.7
200509,63.2,2.9
200510,49.7,0.6
200511,40.5,2.6
200512,23.8,-4.3
200601,30.1,8.4
200602,24.7,1.1
200603,31.7,-0.1
200604,45.7,1.7
200605,55.7,0.1
200606,64.4,-0.1
200607,71.0,2.1
200608,66.8,-0.6
200609,58.1,-2.2
200610,46.6,-2.5
200611,42.4,4.5
200612,34.4,6.3
200701,25.2,3.5
200702,16.2,-7.4
200703,30.2,-1.6
200704,41.2,-2.8
200705,56.2,0.6
200706,65.7,1.2
200707,66.7,-2.2
200708,67.8,0.4
200709,62.0,1.7
200710,54.9,5.8
200711,35.9,-2.0
200712,25.9,-2.2
200801,25.9,4.2
200802,23.5,-0.1
200803,29.3,-2.5
200804,48.4,4.4
200805,51.7,-3.9
200806,66.6,2.1
200807,69.1,0.2
200808,64.8,-2.6
200809,60.7,0.4
200810,46.4,-2.7
200811,36.4,-1.5
200812,26.5,-1.6
200901,15.0,-6.7
200902,24.7,1.1
200903,33.1,1.3
200904,45.8,1.8
200905,55.1,-0.5
200906,62.1,-2.4
200907,65.2,-3.7
200908,67.9,0.5
200909,58.4,-1.9
200910,45.9,-3.2
200911,41.8,3.9
200912,25.2,-2.9
201001,21.8,0.1
201002,24.1,0.5
201003,38.2,6.4
201004,49.2,5.2
201005,58.6,3.0
201006,65.1,0.6
201007,71.4,2.5
201008,68.2,0.8
201009,60.9,0.6
201010,48.5,-0.6
201011,37.9,0.0
201012,23.1,-5.0
201101,18.6,-3.1
201102,21.8,-1.8
201103,30.9,-0.9
201104,45.0,1.0
201105,58.0,2.4
201106,65.1,0.6
201107,71.4,2.5
201108,67.6,0.2
201109,62.6,2.3
201110,49.6,0.5
201111,43.1,5.2
201112,31.8,3.7
201201,26.0,4.3
201202,29.9,6.3
201203,43.3,11.5
201204,43.9,-0.1
201205,60.5,4.9
201206,64.6,0.1
201207,71.4,2.5
201208,68.4,1.0
201209,59.9,-0.4
201210,50.9,1.8
201211,35.7,-2.2
201212,31.6,3.5
201301,24.3,2.6
201302,23.3,-0.3
201303,30.6,-1.2
201304,43.4,-0.6
201305,57.2,1.6
201306,64.0,-0.5
201307,71.2,2.3
201308,65.8,-1.6
201309,58.3,-2.0
201310,50.8,1.7
201311,34.4,-3.5
201312,25.4,-2.7
201401,16.9,-4.8
201402,18.8,-4.8
201403,23.6,-8.2
201404,43.5,-0.5
201405,56.7,1.1
201406,65.0,0.5
201407,67.4,-1.5
201408,65.3,-2.1
201409,60.1,-0.2
201410,51.3,2.2
201411,35.3,-2.6
201412,30.2,2.1
201501,16.2,-5.5
201502,9.2,-14.4
201503,25.5,-6.3
201504,43.3,-0.7
201505,61.0,5.4
201506,63.0,-1.5
201507,68.1,-0.8
201508,67.5,0.1
201509,65.0,4.7
201510,47.4,-1.7
201511,42.8,4.9
201512,39.3,11.2
201601,23.7,2.0
201602,26.7,3.1
201603,37.7,5.9
201604,41.3,-2.7
201605,55.7,0.1
201606,64.1,-0.4
201607,70.4,1.5
201608,70.9,3.5
201609,62.9,2.6
201610,50.5,1.4
201611,40.2,2.3
201612,27.6,-0.5
201701,27.9,6.2
201702,30.6,7.0
201703,28.2,-3.6
201704,48.8,4.8
201705,54.0,-1.6
201706,63.9,-0.6
201707,68.1,-0.8
201708,65.6,-1.8
201709,62.3,2.0
201710,54.8,5.7
201711,36.2,-1.7
201712,22.6,-5.5
201801,19.1,-2.6
201802,29.4,5.8
201803,29.9,-1.9
201804,37.8,-6.2
201805,60.0,4.4
201806,63.4,-1.1
201807,71.2,2.3
201808,70.4,3.0
201809,63.6,3.3
201810,47.7,-1.4
201811,33.3,-4.6
201812,28.5,0.4
201901,19.4,-2.3
201902,24.2,0.6
201903,29.5,-2.3
201904,44.5,0.5
201905,54.2,-1.4
201906,62.9,-1.6
201907,71.0,2.1
201908,66.6,-0.8
201909,60.3,0.0
201910,50.2,1.1
201911,32.8,-5.1
201912,27.3,-0.8
202001,27.7,6.0
202002,26.6,3.0
202003,37.2,5.4
202004,41.1,-2.9
202005,54.2,-1.4
202006,65.2,0.7
202007,72.9,4.0
202008,68.6,1.2
202009,59.6,-0.7
202010,49.0,-0.1
202011,41.9,4.0
202012,29.8,1.7
202101,24.0,2.3
202102,21.7,-1.9
202103,35.0,3.2
202104,45.7,1.7
202105,54.7,-0.9
202106,67.1,2.6
202107,67.7,-1.2
202108,70.4,3.0
202109,61.8,1.5
202110,54.8,5.7
202111,37.0,-0.9
202112,32.7,4.6
202201,15.8,-5.9
